7034 ms | 3131 calls | 2.25 ms/call | WITH input AS ( SELECT * FROM unnest($2::text[], $3::text[], $4::bigint[], $5::text[], $6::text[], $7::bigint[
5983 ms | 5254 calls | 1.14 ms/call | SELECT id, request_token, queue, partition_id, dispatch_epoch, dispatch_attempt, deadline, envelope, payload, 
3033 ms | 790 calls | 3.84 ms/call | INSERT INTO async_requests (id, request_token, queue, partition_id, deadline, envelope, payload, created_at) S
1368 ms | 1498 calls | 0.91 ms/call | SELECT r.id, r.request_token FROM async_requests r JOIN unnest($1::text[], $2::text[]) AS k(id, request_token)
732 ms | 827 calls | 0.89 ms/call | SELECT seq, route, id, request_token, payload FROM async_pop_results($1, $2)
43 ms | 2 calls | 21.31 ms/call | SELECT COUNT(*), COUNT(*) FILTER (WHERE deadline <= $2), COUNT(*) FILTER (WHERE deadline <= $3), COUNT(*) FILT
35 ms | 3 calls | 11.70 ms/call | WITH stale AS MATERIALIZED ( SELECT r.ctid FROM async_requests r JOIN async_partitions p ON p.queue = r.queue 
9 ms | 827 calls | 0.01 ms/call | DELETE FROM async_results WHERE route = $1 AND expires_at > 0 AND expires_at < $2
5 ms | 14 calls | 0.37 ms/call | SELECT extract($1 from now())::int, $2, coalesce(max(age(backend_xmin)),$3), coalesce(max(extract($4 from now(
2 ms | 80 calls | 0.03 ms/call | SELECT id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, status, spec FROM batch_
2 ms | 30 calls | 0.05 ms/call | UPDATE batch_items SET status = $1 WHERE id = $2 AND epoch = $3
1 ms | 3921 calls | 0.00 ms/call | commit
1 ms | 10 calls | 0.12 ms/call | INSERT INTO batch_items (id, tenant_id, expiry, tags, processor_id, priority, epoch, recovery_attempts, spec, 
1 ms | 20 calls | 0.05 ms/call | INSERT INTO file_items (id, tenant_id, expiry, tags, purpose, spec, status) VALUES ($1, $2, $3, $4, $5, $6, $7
1 ms | 32 calls | 0.03 ms/call | WITH claimed AS ( SELECT id FROM batch_items WHERE processor_id IS NULL AND status IS NOT NULL AND status::jso
